1;1;Done;Done;Done;Done
2;2;Done;Done;Done;Done
3;3;Done;Done;Done;Done
4;4;Done;Done;Done;Done
5;5;Done;Done;Done;Done
6;7;Done;Done;Done;Done
7;8;Done;not completed;Done;Done
8;9;Done;Done;Done;Done
9;10;Done;Done;Done;Done
10;11;Done;Done;Done;Done
11;14;Done;Done;Done;Done
12;16;Done;Done;Done;Done
13;18;Done;Done;Done;Done
14;19;Done;Done;Done;Done
15;20;Done;Done;Done;Done
16;21;Done;Done;Done;Done
17;22;Done;Done;Done;Done
18;23;Done;Done;Done;Done
19;24;Done;Done;Done;Done
20;26;Done;Done;Done;Done
21;27;Done;Done;Done;Done
